"Column_1","Column_2","Column_3"
-195.95455630151457,"2022-10-12 16:04:02","2022-10-12 16:04:02"
-195.95758497102705,"2022-10-12 16:07:08","2022-10-12 16:07:08"
-195.95831771365104,"2022-10-12 16:07:53","2022-10-12 16:07:53"
-195.95856196119237,"2022-10-12 16:08:08","2022-10-12 16:08:08"
-195.95908300358766,"2022-10-12 16:08:40","2022-10-12 16:08:40"
-195.959327251129,"2022-10-12 16:08:55","2022-10-12 16:08:55"
-195.96228054543562,"2022-10-12 16:11:57","2022-10-12 16:11:57"
-195.96276735218945,"2022-10-12 16:12:27","2022-10-12 16:12:27"
-195.96422770270374,"2022-10-12 16:13:57","2022-10-12 16:13:57"
-195.96474693844215,"2022-10-12 16:14:29","2022-10-12 16:14:29"
-195.96601257555454,"2022-10-12 16:15:47","2022-10-12 16:15:47"
-195.96705101442646,"2022-10-12 16:16:51","2022-10-12 16:16:51"
-195.96851136494075,"2022-10-12 16:18:21","2022-10-12 16:18:21"
-195.96948509119164,"2022-10-12 16:19:21","2022-10-12 16:19:21"
-195.97144877246427,"2022-10-12 16:21:22","2022-10-12 16:21:22"
-195.97460379691893,"2022-10-12 16:24:37","2022-10-12 16:24:37"
-195.97560698080193,"2022-10-12 16:25:39","2022-10-12 16:25:39"
-195.9817631316882,"2022-10-12 16:31:58","2022-10-12 16:31:58"
-195.982737720219,"2022-10-12 16:32:58","2022-10-12 16:32:58"
-195.98496313558218,"2022-10-12 16:35:15","2022-10-12 16:35:15"
-195.9854504298476,"2022-10-12 16:35:45","2022-10-12 16:35:45"
-195.98788690117462,"2022-10-12 16:38:15","2022-10-12 16:38:15"
-195.9886340857149,"2022-10-12 16:39:01","2022-10-12 16:39:01"
-195.98912140536672,"2022-10-12 16:39:31","2022-10-12 16:39:31"
-195.98960869963213,"2022-10-12 16:40:01","2022-10-12 16:40:01"
-195.98984870199206,"2022-10-12 16:40:16","2022-10-12 16:40:16"
-195.99008871375491,"2022-10-12 16:40:31","2022-10-12 16:40:31"
-195.99152872791447,"2022-10-12 16:42:01","2022-10-12 16:42:01"
-195.99512876331335,"2022-10-12 16:45:46","2022-10-12 16:45:46"
-195.9965687774729,"2022-10-12 16:47:16","2022-10-12 16:47:16"
-195.99776874430864,"2022-10-12 16:48:31","2022-10-12 16:48:31"
-195.99800874666857,"2022-10-12 16:48:46","2022-10-12 16:48:46"
-195.9992087584682,"2022-10-12 16:50:01","2022-10-12 16:50:01"
-195.99968876318806,"2022-10-12 16:50:31","2022-10-12 16:50:31"
-195.99992884188467,"2022-10-12 16:50:46","2022-10-12 16:50:46"
-196.0001689281502,"2022-10-12 16:51:01","2022-10-12 16:51:01"
-196.0004090068468,"2022-10-12 16:51:16","2022-10-12 16:51:16"
-196.0009051694865,"2022-10-12 16:51:47","2022-10-12 16:51:47"
-196.00234564166618,"2022-10-12 16:53:17","2022-10-12 16:53:17"
-196.00330592617698,"2022-10-12 16:54:17","2022-10-12 16:54:17"
-196.00741608996282,"2022-10-12 16:58:33","2022-10-12 16:58:33"
-196.00862023950944,"2022-10-12 16:59:48","2022-10-12 16:59:48"
-196.0091019144896,"2022-10-12 17:00:18","2022-10-12 17:00:18"
-196.00934274439894,"2022-10-12 17:00:33","2022-10-12 17:00:33"
-196.01223270331084,"2022-10-12 17:03:33","2022-10-12 17:03:33"
-196.01343685285747,"2022-10-12 17:04:48","2022-10-12 17:04:48"
-196.0141593690407,"2022-10-12 17:05:33","2022-10-12 17:05:33"
-196.01464102885936,"2022-10-12 17:06:03","2022-10-12 17:06:03"
-196.01488186634944,"2022-10-12 17:06:18","2022-10-12 17:06:18"
-196.01512269625877,"2022-10-12 17:06:33","2022-10-12 17:06:33"
-196.0153635261681,"2022-10-12 17:06:48","2022-10-12 17:06:48"
-196.01560435607743,"2022-10-12 17:07:03","2022-10-12 17:07:03"
-196.01584519409292,"2022-10-12 17:07:18","2022-10-12 17:07:18"
-196.0160860321084,"2022-10-12 17:07:33","2022-10-12 17:07:33"
-196.01632686201773,"2022-10-12 17:07:48","2022-10-12 17:07:48"
-196.01656773891816,"2022-10-12 17:08:03","2022-10-12 17:08:03"
-196.017049492719,"2022-10-12 17:08:33","2022-10-12 17:08:33"
-196.0184947541215,"2022-10-12 17:10:03","2022-10-12 17:10:03"
-196.02018056348678,"2022-10-12 17:11:48","2022-10-12 17:11:48"
-196.02066222330544,"2022-10-12 17:12:18","2022-10-12 17:12:18"
-196.0221072027614,"2022-10-12 17:13:48","2022-10-12 17:13:48"
-196.0225894029902,"2022-10-12 17:14:18","2022-10-12 17:14:18"
-196.02307212750492,"2022-10-12 17:14:48","2022-10-12 17:14:48"
-196.02331349738893,"2022-10-12 17:15:03","2022-10-12 17:15:03"
-196.02379623715692,"2022-10-12 17:15:33","2022-10-12 17:15:33"
-196.02403762628273,"2022-10-12 17:15:48","2022-10-12 17:15:48"
-196.02427901540855,"2022-10-12 17:16:03","2022-10-12 17:16:03"
-196.02452041579903,"2022-10-12 17:16:18","2022-10-12 17:16:18"
-196.02500321658,"2022-10-12 17:16:48","2022-10-12 17:16:48"
-196.02524470113178,"2022-10-12 17:17:03","2022-10-12 17:17:03"
-196.0254861780236,"2022-10-12 17:17:18","2022-10-12 17:17:18"
-196.02572765491544,"2022-10-12 17:17:33","2022-10-12 17:17:33"
-196.0262104556964,"2022-10-12 17:18:03","2022-10-12 17:18:03"
-196.02695069121896,"2022-10-12 17:18:49","2022-10-12 17:18:49"
-196.02745146195105,"2022-10-12 17:19:20","2022-10-12 17:19:20"
-196.03013300845194,"2022-10-12 17:22:06","2022-10-12 17:22:06"
-196.0303753055624,"2022-10-12 17:22:21","2022-10-12 17:22:21"
-196.0320875384763,"2022-10-12 17:24:07","2022-10-12 17:24:07"
-196.03256724114618,"2022-10-12 17:24:37","2022-10-12 17:24:37"
-196.0354838225085,"2022-10-12 17:27:40","2022-10-12 17:27:40"
-196.03620101464676,"2022-10-12 17:28:25","2022-10-12 17:28:25"
-196.03739633487723,"2022-10-12 17:29:40","2022-10-12 17:29:40"
-196.0378899773201,"2022-10-12 17:30:11","2022-10-12 17:30:11"
-196.0390843149392,"2022-10-12 17:31:26","2022-10-12 17:31:26"
-196.0395624595859,"2022-10-12 17:31:56","2022-10-12 17:31:56"
-196.04171411049614,"2022-10-12 17:34:11","2022-10-12 17:34:11"
-196.04268633794447,"2022-10-12 17:35:12","2022-10-12 17:35:12"
-196.04294134842272,"2022-10-12 17:35:28","2022-10-12 17:35:28"
-196.04341949306942,"2022-10-12 17:35:58","2022-10-12 17:35:58"
-196.04365853469565,"2022-10-12 17:36:13","2022-10-12 17:36:13"
-196.0441366179481,"2022-10-12 17:36:43","2022-10-12 17:36:43"
-196.04485375409615,"2022-10-12 17:37:28","2022-10-12 17:37:28"
-196.04509281463683,"2022-10-12 17:37:43","2022-10-12 17:37:43"
-196.04533187142107,"2022-10-12 17:37:58","2022-10-12 17:37:58"
-196.0455709282053,"2022-10-12 17:38:13","2022-10-12 17:38:13"
-196.04580999055725,"2022-10-12 17:38:28","2022-10-12 17:38:28"
-196.0465431151032,"2022-10-12 17:39:14","2022-10-12 17:39:14"
-196.04678217745513,"2022-10-12 17:39:29","2022-10-12 17:39:29"
-196.04726032210183,"2022-10-12 17:39:59","2022-10-12 17:39:59"
-196.04773846674854,"2022-10-12 17:40:29","2022-10-12 17:40:29"
-196.0479775390719,"2022-10-12 17:40:44","2022-10-12 17:40:44"
-196.05012925962674,"2022-10-12 17:42:59","2022-10-12 17:42:59"
-196.0506233584208,"2022-10-12 17:43:30","2022-10-12 17:43:30"
-196.05086244674666,"2022-10-12 17:43:45","2022-10-12 17:43:45"
-196.0511015268083,"2022-10-12 17:44:00","2022-10-12 17:44:00"
-196.0542085621858,"2022-10-12 17:47:15","2022-10-12 17:47:15"
-196.05516457307118,"2022-10-12 17:48:15","2022-10-12 17:48:15"
-196.05589751474997,"2022-10-12 17:49:01","2022-10-12 17:49:01"
-196.05661454094206,"2022-10-12 17:49:46","2022-10-12 17:49:46"
-196.05709254638475,"2022-10-12 17:50:16","2022-10-12 17:50:16"
-196.0573315415944,"2022-10-12 17:50:31","2022-10-12 17:50:31"
-196.05903642767333,"2022-10-12 17:52:18","2022-10-12 17:52:18"
-196.060040239103,"2022-10-12 17:53:21","2022-10-12 17:53:21"
-196.0602951841528,"2022-10-12 17:53:37","2022-10-12 17:53:37"
-196.06053418687415,"2022-10-12 17:53:52","2022-10-12 17:53:52"
-196.06125119503818,"2022-10-12 17:54:37","2022-10-12 17:54:37"
