"Column_1","Column_2","Column_3"
-4.899881660990013E-4,"2022-10-12 16:04:02","2022-10-12 16:04:02"
-0.0030286695124745974,"2022-10-12 16:07:08","2022-10-12 16:07:08"
-7.327426239857896E-4,"2022-10-12 16:07:53","2022-10-12 16:07:53"
-2.4424754132859654E-4,"2022-10-12 16:08:08","2022-10-12 16:08:08"
-5.21042395286696E-4,"2022-10-12 16:08:40","2022-10-12 16:08:40"
-2.4424754132859654E-4,"2022-10-12 16:08:55","2022-10-12 16:08:55"
-0.002953294306632066,"2022-10-12 16:11:57","2022-10-12 16:11:57"
-4.868067538404504E-4,"2022-10-12 16:12:27","2022-10-12 16:12:27"
-0.001460350514305699,"2022-10-12 16:13:57","2022-10-12 16:13:57"
-5.192357384198041E-4,"2022-10-12 16:14:29","2022-10-12 16:14:29"
-0.0012656371123982723,"2022-10-12 16:15:47","2022-10-12 16:15:47"
-0.0010384388719183624,"2022-10-12 16:16:51","2022-10-12 16:16:51"
-0.001460350514305699,"2022-10-12 16:18:21","2022-10-12 16:18:21"
-9.737262508904242E-4,"2022-10-12 16:19:21","2022-10-12 16:19:21"
-0.0019636812726290223,"2022-10-12 16:21:22","2022-10-12 16:21:22"
-0.0031550244546610616,"2022-10-12 16:24:37","2022-10-12 16:24:37"
-0.001003183882996703,"2022-10-12 16:25:39","2022-10-12 16:25:39"
-0.006156150886277513,"2022-10-12 16:31:58","2022-10-12 16:31:58"
-9.74588530809105E-4,"2022-10-12 16:32:58","2022-10-12 16:32:58"
-0.002225415363168836,"2022-10-12 16:35:15","2022-10-12 16:35:15"
-4.872942654045525E-4,"2022-10-12 16:35:45","2022-10-12 16:35:45"
-0.0024364713270227626,"2022-10-12 16:38:15","2022-10-12 16:38:15"
-7.471845402869805E-4,"2022-10-12 16:39:01","2022-10-12 16:39:01"
-4.873196518247999E-4,"2022-10-12 16:39:31","2022-10-12 16:39:31"
-4.872942654045525E-4,"2022-10-12 16:40:01","2022-10-12 16:40:01"
-2.400023599252389E-4,"2022-10-12 16:40:16","2022-10-12 16:40:16"
-2.4001176285897086E-4,"2022-10-12 16:40:31","2022-10-12 16:40:31"
-0.0014400141595514336,"2022-10-12 16:42:01","2022-10-12 16:42:01"
-0.0036000353988785844,"2022-10-12 16:45:46","2022-10-12 16:45:46"
-0.0014400141595514336,"2022-10-12 16:47:16","2022-10-12 16:47:16"
-0.0011999668357373055,"2022-10-12 16:48:31","2022-10-12 16:48:31"
-2.400023599252389E-4,"2022-10-12 16:48:46","2022-10-12 16:48:46"
-0.0012000117996261946,"2022-10-12 16:50:01","2022-10-12 16:50:01"
-4.800047198504778E-4,"2022-10-12 16:50:31","2022-10-12 16:50:31"
-2.4007869661714931E-4,"2022-10-12 16:50:46","2022-10-12 16:50:46"
-2.4008626553844562E-4,"2022-10-12 16:51:01","2022-10-12 16:51:01"
-2.4007869661714931E-4,"2022-10-12 16:51:16","2022-10-12 16:51:16"
-4.961626396754419E-4,"2022-10-12 16:51:47","2022-10-12 16:51:47"
-0.0014404721797028957,"2022-10-12 16:53:17","2022-10-12 16:53:17"
-9.602845107834121E-4,"2022-10-12 16:54:17","2022-10-12 16:54:17"
-0.004110163785844018,"2022-10-12 16:58:33","2022-10-12 16:58:33"
-0.0012041495466339897,"2022-10-12 16:59:48","2022-10-12 16:59:48"
-4.816749801610495E-4,"2022-10-12 17:00:18","2022-10-12 17:00:18"
-2.408299093267979E-4,"2022-10-12 17:00:33","2022-10-12 17:00:33"
-0.0028899589119215753,"2022-10-12 17:03:33","2022-10-12 17:03:33"
-0.0012041495466339897,"2022-10-12 17:04:48","2022-10-12 17:04:48"
-7.225161832413206E-4,"2022-10-12 17:05:33","2022-10-12 17:05:33"
-4.816598186535958E-4,"2022-10-12 17:06:03","2022-10-12 17:06:03"
-2.4083749008052476E-4,"2022-10-12 17:06:18","2022-10-12 17:06:18"
-2.408299093267979E-4,"2022-10-12 17:06:33","2022-10-12 17:06:33"
-2.408299093267979E-4,"2022-10-12 17:06:48","2022-10-12 17:06:48"
-2.408299093267979E-4,"2022-10-12 17:07:03","2022-10-12 17:07:03"
-2.4083801547929797E-4,"2022-10-12 17:07:18","2022-10-12 17:07:18"
-2.4083801547929797E-4,"2022-10-12 17:07:33","2022-10-12 17:07:33"
-2.408299093267979E-4,"2022-10-12 17:07:48","2022-10-12 17:07:48"
-2.4087690041514514E-4,"2022-10-12 17:08:03","2022-10-12 17:08:03"
-4.817538008302903E-4,"2022-10-12 17:08:33","2022-10-12 17:08:33"
-0.0014452614024908711,"2022-10-12 17:10:03","2022-10-12 17:10:03"
-0.001685809365287585,"2022-10-12 17:11:48","2022-10-12 17:11:48"
-4.816598186535958E-4,"2022-10-12 17:12:18","2022-10-12 17:12:18"
-0.0014449794559607877,"2022-10-12 17:13:48","2022-10-12 17:13:48"
-4.8220022882026255E-4,"2022-10-12 17:14:18","2022-10-12 17:14:18"
-4.827245147075492E-4,"2022-10-12 17:14:48","2022-10-12 17:14:48"
-2.4136988399595756E-4,"2022-10-12 17:15:03","2022-10-12 17:15:03"
-4.827397679919151E-4,"2022-10-12 17:15:33","2022-10-12 17:15:33"
-2.413891258099571E-4,"2022-10-12 17:15:48","2022-10-12 17:15:48"
-2.413891258099571E-4,"2022-10-12 17:16:03","2022-10-12 17:16:03"
-2.4140039047401956E-4,"2022-10-12 17:16:18","2022-10-12 17:16:18"
-4.828007809480391E-4,"2022-10-12 17:16:48","2022-10-12 17:16:48"
-2.41484551789437E-4,"2022-10-12 17:17:03","2022-10-12 17:17:03"
-2.414768918178745E-4,"2022-10-12 17:17:18","2022-10-12 17:17:18"
-2.414768918178745E-4,"2022-10-12 17:17:33","2022-10-12 17:17:33"
-4.828007809480391E-4,"2022-10-12 17:18:03","2022-10-12 17:18:03"
-7.402355225573949E-4,"2022-10-12 17:18:49","2022-10-12 17:18:49"
-5.007707320927488E-4,"2022-10-12 17:19:20","2022-10-12 17:19:20"
-0.0026815465008837515,"2022-10-12 17:22:06","2022-10-12 17:22:06"
-2.4229711045978527E-4,"2022-10-12 17:22:21","2022-10-12 17:22:21"
-0.0017122329139158156,"2022-10-12 17:24:07","2022-10-12 17:24:07"
-4.797026698779039E-4,"2022-10-12 17:24:37","2022-10-12 17:24:37"
-0.0029165813623279473,"2022-10-12 17:27:40","2022-10-12 17:27:40"
-7.171921382773641E-4,"2022-10-12 17:28:25","2022-10-12 17:28:25"
-0.0011953202304622735,"2022-10-12 17:29:40","2022-10-12 17:29:40"
-4.936424428772379E-4,"2022-10-12 17:30:11","2022-10-12 17:30:11"
-0.0011943376190975586,"2022-10-12 17:31:26","2022-10-12 17:31:26"
-4.781446467169285E-4,"2022-10-12 17:31:56","2022-10-12 17:31:56"
-0.002151650910226178,"2022-10-12 17:34:11","2022-10-12 17:34:11"
-9.722274483244213E-4,"2022-10-12 17:35:12","2022-10-12 17:35:12"
-2.5501047824902855E-4,"2022-10-12 17:35:28","2022-10-12 17:35:28"
-4.781446467169285E-4,"2022-10-12 17:35:58","2022-10-12 17:35:58"
-2.390416262283273E-4,"2022-10-12 17:36:13","2022-10-12 17:36:13"
-4.780832524566546E-4,"2022-10-12 17:36:43","2022-10-12 17:36:43"
-7.171361480426208E-4,"2022-10-12 17:37:28","2022-10-12 17:37:28"
-2.3906054068119437E-4,"2022-10-12 17:37:43","2022-10-12 17:37:43"
-2.3905678422864808E-4,"2022-10-12 17:37:58","2022-10-12 17:37:58"
-2.3905678422864808E-4,"2022-10-12 17:38:13","2022-10-12 17:38:13"
-2.3906235193784183E-4,"2022-10-12 17:38:28","2022-10-12 17:38:28"
-7.331245459427149E-4,"2022-10-12 17:39:14","2022-10-12 17:39:14"
-2.3906235193784183E-4,"2022-10-12 17:39:29","2022-10-12 17:39:29"
-4.781446467169285E-4,"2022-10-12 17:39:59","2022-10-12 17:39:59"
-4.781446467169285E-4,"2022-10-12 17:40:29","2022-10-12 17:40:29"
-2.3907232335846425E-4,"2022-10-12 17:40:44","2022-10-12 17:40:44"
-0.0021517205548563863,"2022-10-12 17:42:59","2022-10-12 17:42:59"
-4.940987940781331E-4,"2022-10-12 17:43:30","2022-10-12 17:43:30"
-2.3908832584631143E-4,"2022-10-12 17:43:45","2022-10-12 17:43:45"
-2.390800616507096E-4,"2022-10-12 17:44:00","2022-10-12 17:44:00"
-0.003107035377490777,"2022-10-12 17:47:15","2022-10-12 17:47:15"
-9.560108853817775E-4,"2022-10-12 17:48:15","2022-10-12 17:48:15"
-7.329416787926962E-4,"2022-10-12 17:49:01","2022-10-12 17:49:01"
-7.170261920918887E-4,"2022-10-12 17:49:46","2022-10-12 17:49:46"
-4.7800544269088876E-4,"2022-10-12 17:50:16","2022-10-12 17:50:16"
-2.3899520965562957E-4,"2022-10-12 17:50:31","2022-10-12 17:50:31"
-0.0017048860789308363,"2022-10-12 17:52:18","2022-10-12 17:52:18"
