"Column_1","Column_2","Column_3"
-203.58192053157492,"2022-09-27 10:30:59","2022-09-27 10:30:59"
-203.58110808727056,"2022-09-27 10:31:44","2022-09-27 10:31:44"
-203.58056647534235,"2022-09-27 10:32:14","2022-09-27 10:32:14"
-203.57975398965857,"2022-09-27 10:32:59","2022-09-27 10:32:59"
-203.5775873611685,"2022-09-27 10:34:59","2022-09-27 10:34:59"
-203.57596238980094,"2022-09-27 10:36:29","2022-09-27 10:36:29"
-203.57542073267842,"2022-09-27 10:36:59","2022-09-27 10:36:59"
-203.57461149146164,"2022-09-27 10:37:44","2022-09-27 10:37:44"
-203.57407201340698,"2022-09-27 10:38:14","2022-09-27 10:38:14"
-203.57353251926244,"2022-09-27 10:38:44","2022-09-27 10:38:44"
-203.57218378390112,"2022-09-27 10:39:59","2022-09-27 10:39:59"
-203.57137454268434,"2022-09-27 10:40:44","2022-09-27 10:40:44"
-203.56975601186505,"2022-09-27 10:42:14","2022-09-27 10:42:14"
-203.56921650159197,"2022-09-27 10:42:44","2022-09-27 10:42:44"
-203.5686770077668,"2022-09-27 10:43:14","2022-09-27 10:43:14"
-203.56811951381795,"2022-09-27 10:43:45","2022-09-27 10:43:45"
-203.5675800258026,"2022-09-27 10:44:15","2022-09-27 10:44:15"
-203.56704051552953,"2022-09-27 10:44:45","2022-09-27 10:44:45"
-203.56515222957367,"2022-09-27 10:46:30","2022-09-27 10:46:30"
-203.56353952498793,"2022-09-27 10:48:00","2022-09-27 10:48:00"
-203.5621956044998,"2022-09-27 10:49:15","2022-09-27 10:49:15"
-203.56138922022313,"2022-09-27 10:50:00","2022-09-27 10:50:00"
-203.56009499425656,"2022-09-27 10:51:15","2022-09-27 10:51:15"
-203.55904198284784,"2022-09-27 10:52:15","2022-09-27 10:52:15"
-203.5585154771435,"2022-09-27 10:52:45","2022-09-27 10:52:45"
-203.55744491554464,"2022-09-27 10:53:46","2022-09-27 10:53:46"
-203.5566551569881,"2022-09-27 10:54:31","2022-09-27 10:54:31"
-203.55639190413595,"2022-09-27 10:54:46","2022-09-27 10:54:46"
-203.55505781944606,"2022-09-27 10:56:02","2022-09-27 10:56:02"
-203.55477695094646,"2022-09-27 10:56:18","2022-09-27 10:56:18"
-203.5545144587889,"2022-09-27 10:56:33","2022-09-27 10:56:33"
-203.55398951245462,"2022-09-27 10:57:03","2022-09-27 10:57:03"
-203.552939555836,"2022-09-27 10:58:03","2022-09-27 10:58:03"
-203.5526770556959,"2022-09-27 10:58:18","2022-09-27 10:58:18"
-203.55213451129376,"2022-09-27 10:58:49","2022-09-27 10:58:49"
-203.55160946832393,"2022-09-27 10:59:19","2022-09-27 10:59:19"
-203.55134694683903,"2022-09-27 10:59:34","2022-09-27 10:59:34"
-203.5508218716572,"2022-09-27 11:00:04","2022-09-27 11:00:04"
-203.55029681274084,"2022-09-27 11:00:34","2022-09-27 11:00:34"
-203.55003428328266,"2022-09-27 11:00:49","2022-09-27 11:00:49"
-203.54977149935124,"2022-09-27 11:01:04","2022-09-27 11:01:04"
-203.54872036362556,"2022-09-27 11:02:04","2022-09-27 11:02:04"
-203.54740247752358,"2022-09-27 11:03:19","2022-09-27 11:03:19"
-203.54661174586238,"2022-09-27 11:04:04","2022-09-27 11:04:04"
-203.5452951359676,"2022-09-27 11:05:19","2022-09-27 11:05:19"
-203.54476929053905,"2022-09-27 11:05:49","2022-09-27 11:05:49"
-203.5413100887875,"2022-09-27 11:09:07","2022-09-27 11:09:07"
-203.54052388261124,"2022-09-27 11:09:52","2022-09-27 11:09:52"
