"Column_1","Column_2","Column_3"
5.415071604685603E-4,"2022-09-27 10:30:59","2022-09-27 10:30:59"
8.124443043678885E-4,"2022-09-27 10:31:44","2022-09-27 10:31:44"
5.416119282104212E-4,"2022-09-27 10:32:14","2022-09-27 10:32:14"
8.124856837758561E-4,"2022-09-27 10:32:59","2022-09-27 10:32:59"
0.0021666284900689497,"2022-09-27 10:34:59","2022-09-27 10:34:59"
0.0016249713675517122,"2022-09-27 10:36:29","2022-09-27 10:36:29"
5.416571225172374E-4,"2022-09-27 10:36:59","2022-09-27 10:36:59"
8.092412167943347E-4,"2022-09-27 10:37:44","2022-09-27 10:37:44"
5.394780546746552E-4,"2022-09-27 10:38:14","2022-09-27 10:38:14"
5.394941445295565E-4,"2022-09-27 10:38:44","2022-09-27 10:38:44"
0.0013487353613238912,"2022-09-27 10:39:59","2022-09-27 10:39:59"
8.092412167943347E-4,"2022-09-27 10:40:44","2022-09-27 10:40:44"
0.0016185308192974539,"2022-09-27 10:42:14","2022-09-27 10:42:14"
5.395102730991512E-4,"2022-09-27 10:42:44","2022-09-27 10:42:44"
5.394938251519406E-4,"2022-09-27 10:43:14","2022-09-27 10:43:14"
5.574939488691231E-4,"2022-09-27 10:43:45","2022-09-27 10:43:45"
5.394880153368411E-4,"2022-09-27 10:44:15","2022-09-27 10:44:15"
5.395102730991512E-4,"2022-09-27 10:44:45","2022-09-27 10:44:45"
0.0018882859558470297,"2022-09-27 10:46:30","2022-09-27 10:46:30"
0.0016127045857486034,"2022-09-27 10:48:00","2022-09-27 10:48:00"
0.0013439204881238362,"2022-09-27 10:49:15","2022-09-27 10:49:15"
8.063842766693525E-4,"2022-09-27 10:50:00","2022-09-27 10:50:00"
0.00129422596656802,"2022-09-27 10:51:15","2022-09-27 10:51:15"
0.0010530114087081506,"2022-09-27 10:52:15","2022-09-27 10:52:15"
5.265057043540753E-4,"2022-09-27 10:52:45","2022-09-27 10:52:45"
0.0010705615988532864,"2022-09-27 10:53:46","2022-09-27 10:53:46"
7.897585565311129E-4,"2022-09-27 10:54:31","2022-09-27 10:54:31"
2.6325285217703766E-4,"2022-09-27 10:54:46","2022-09-27 10:54:46"
0.0013340846898831765,"2022-09-27 10:56:02","2022-09-27 10:56:02"
2.8086849960564145E-4,"2022-09-27 10:56:18","2022-09-27 10:56:18"
2.6249215755609054E-4,"2022-09-27 10:56:33","2022-09-27 10:56:33"
5.249463342690125E-4,"2022-09-27 10:57:03","2022-09-27 10:57:03"
0.001049956618626718,"2022-09-27 10:58:03","2022-09-27 10:58:03"
2.6250014007136297E-4,"2022-09-27 10:58:18","2022-09-27 10:58:18"
5.425444021535232E-4,"2022-09-27 10:58:49","2022-09-27 10:58:49"
5.250429698259902E-4,"2022-09-27 10:59:19","2022-09-27 10:59:19"
2.625214849129951E-4,"2022-09-27 10:59:34","2022-09-27 10:59:34"
5.250751818284672E-4,"2022-09-27 11:00:04","2022-09-27 11:00:04"
5.250589163618699E-4,"2022-09-27 11:00:34","2022-09-27 11:00:34"
2.6252945818093493E-4,"2022-09-27 11:00:49","2022-09-27 11:00:49"
2.627839314195995E-4,"2022-09-27 11:01:04","2022-09-27 11:01:04"
0.001051135725678398,"2022-09-27 11:02:04","2022-09-27 11:02:04"
0.0013178861019765107,"2022-09-27 11:03:19","2022-09-27 11:03:19"
7.907316611859066E-4,"2022-09-27 11:04:04","2022-09-27 11:04:04"
0.0013166098947794069,"2022-09-27 11:05:19","2022-09-27 11:05:19"
5.258454285444016E-4,"2022-09-27 11:05:49","2022-09-27 11:05:49"
0.0034592017515554588,"2022-09-27 11:09:07","2022-09-27 11:09:07"
7.862061762716554E-4,"2022-09-27 11:09:52","2022-09-27 11:09:52"
5.416086992093626E-4,"2022-09-27 11:10:23","2022-09-27 11:10:23"
2.620602253291871E-4,"2022-09-27 11:10:38","2022-09-27 11:10:38"
2.620602253291871E-4,"2022-09-27 11:10:53","2022-09-27 11:10:53"
2.795399737854775E-4,"2022-09-27 11:11:09","2022-09-27 11:11:09"
2.624666811435095E-4,"2022-09-27 11:11:24","2022-09-27 11:11:24"
5.599289197728203E-4,"2022-09-27 11:11:56","2022-09-27 11:11:56"
2.624793569308359E-4,"2022-09-27 11:12:11","2022-09-27 11:12:11"
2.6247137026115216E-4,"2022-09-27 11:12:26","2022-09-27 11:12:26"
5.25739959851008E-4,"2022-09-27 11:12:56","2022-09-27 11:12:56"
2.6285730413817766E-4,"2022-09-27 11:13:11","2022-09-27 11:13:11"
7.885719124145329E-4,"2022-09-27 11:13:56","2022-09-27 11:13:56"
5.43221787927446E-4,"2022-09-27 11:14:27","2022-09-27 11:14:27"
5.256985044459155E-4,"2022-09-27 11:14:57","2022-09-27 11:14:57"
2.6284925222295775E-4,"2022-09-27 11:15:12","2022-09-27 11:15:12"
2.6284925222295775E-4,"2022-09-27 11:15:27","2022-09-27 11:15:27"
2.628408109858531E-4,"2022-09-27 11:15:42","2022-09-27 11:15:42"
2.6284925222295775E-4,"2022-09-27 11:15:57","2022-09-27 11:15:57"
0.00134929282807785,"2022-09-27 11:17:14","2022-09-27 11:17:14"
7.885236009232135E-4,"2022-09-27 11:17:59","2022-09-27 11:17:59"
2.6284120030773783E-4,"2022-09-27 11:18:14","2022-09-27 11:18:14"
2.6244259064338597E-4,"2022-09-27 11:18:29","2022-09-27 11:18:29"
7.873037190257916E-4,"2022-09-27 11:19:14","2022-09-27 11:19:14"
2.6242656095434375E-4,"2022-09-27 11:19:29","2022-09-27 11:19:29"
2.6243457858913247E-4,"2022-09-27 11:19:44","2022-09-27 11:19:44"
2.6243457858913247E-4,"2022-09-27 11:19:59","2022-09-27 11:19:59"
2.6244259064338597E-4,"2022-09-27 11:20:14","2022-09-27 11:20:14"
2.6244259064338597E-4,"2022-09-27 11:20:29","2022-09-27 11:20:29"
2.6244259064338597E-4,"2022-09-27 11:20:44","2022-09-27 11:20:44"
5.25104830358997E-4,"2022-09-27 11:21:14","2022-09-27 11:21:14"
7.876816404499538E-4,"2022-09-27 11:21:59","2022-09-27 11:21:59"
8.226642342290955E-4,"2022-09-27 11:22:46","2022-09-27 11:22:46"
5.42608324704297E-4,"2022-09-27 11:23:17","2022-09-27 11:23:17"
2.625685190099384E-4,"2022-09-27 11:23:32","2022-09-27 11:23:32"
8.05210124963811E-4,"2022-09-27 11:24:18","2022-09-27 11:24:18"
5.251206153017053E-4,"2022-09-27 11:24:48","2022-09-27 11:24:48"
5.251206153017053E-4,"2022-09-27 11:25:18","2022-09-27 11:25:18"
2.6255225573563275E-4,"2022-09-27 11:25:33","2022-09-27 11:25:33"
5.426246358117623E-4,"2022-09-27 11:26:04","2022-09-27 11:26:04"
